ano;municipio_cod;total_violencia_domestica;feminicidios;municipio_nome;taxa_feminicidio
2022;313753;10;1;LAGOA GRANDE;100.0
2022;313760;184;2;LAGOA SANTA;10.87
2022;313820;242;1;LAVRAS;4.13
2022;313830;16;1;LEANDRO FERREIRA;62.5
2022;313840;88;1;LEOPOLDINA;11.36
2022;313940;308;3;MANHUACU;9.74
2022;313950;64;1;MANHUMIRIM;15.62
2022;313960;31;1;MANTENA;32.26
2022;313980;10;2;MAR DE ESPANHA;200.0
2022;314000;169;1;MARIANA;5.92
2022;314030;15;0;MARLIERIA;0.0
2022;314070;93;1;MATEUS LEME;10.75
2022;314110;77;0;MATOZINHOS;0.0
2022;314140;5;1;MEDINA;200.0
2022;314170;13;0;MESQUITA;0.0
2022;314280;14;1;MONTE ALEGRE DE MINAS;71.43
2022;314300;20;1;MONTE BELO;50.0
2022;314310;100;2;MONTE CARMELO;20.0
2022;314320;28;0;MONTE SANTO DE MINAS;0.0
2022;314330;498;4;MONTES CLAROS;8.03
2022;314340;10;1;MONTE SIAO;100.0
2022;314390;56;0;MURIAE;0.0
2022;314435;6;1;NAQUE;166.67
2022;314465;5;0;NINHEIRA;0.0
2022;314480;111;1;NOVA LIMA;9.01
2022;314520;154;3;NOVA SERRANA;19.48
2022;314530;61;0;NOVO CRUZEIRO;0.0
2022;314590;169;2;OURO BRANCO;11.83
2022;314600;17;1;OURO FINO;58.82
2022;314610;71;1;OURO PRETO;14.08
2022;314625;1;1;PADRE CARVALHO;1000.0
2022;314630;34;0;PADRE PARAISO;0.0
2022;314655;9;0;PAI PEDRO;0.0
2022;314700;329;1;PARACATU;3.04
2022;314710;250;4;PARA DE MINAS;16.0
2022;314720;50;1;PARAGUACU;20.0
2022;314740;39;0;PARAOPEBA;0.0
2022;314790;358;1;PASSOS;2.79
2022;314800;274;6;PATOS DE MINAS;21.9
2022;314810;184;1;PATROCINIO;5.43
2022;314880;7;1;PEDRA DO ANTA;142.86
2022;314930;127;0;PEDRO LEOPOLDO;0.0
2022;314970;13;1;PERDIGAO;76.92
2022;314980;32;2;PERDIZES;62.5
2022;315100;7;1;PIRANGUINHO;142.86
2022;315140;85;1;PITANGUI;11.76
2022;315150;204;0;PIUMHI;0.0
2022;315170;61;1;POCO FUNDO;16.39
2022;315180;352;2;POCOS DE CALDAS;5.68
2022;315200;130;1;POMPEU;7.69
2022;315210;85;2;PONTE NOVA;23.53
2022;315220;67;0;PORTEIRINHA;0.0
2022;315250;191;4;POUSO ALEGRE;20.94
2022;315280;119;1;PRATA;8.4
2022;315350;38;1;ALTO JEQUITIBA;26.32
2022;315445;5;1;RIACHINHO;200.0
2022;315460;615;10;RIBEIRAO DAS NEVES;16.26
2022;315490;44;1;RIO CASCA;22.73
2022;315540;16;0;RIO NOVO;0.0
2022;315670;175;3;SABARA;17.14
2022;315690;109;2;SACRAMENTO;18.35
2022;315700;10;1;SALINAS;100.0
2022;315725;8;0;SANTA BARBARA DO LESTE;0.0
2022;315727;9;1;SANTA BARBARA DO MONTE VERDE;111.11
2022;315780;280;5;SANTA LUZIA;17.86
2022;315790;19;1;SANTA MARGARIDA;52.63
2022;315890;11;0;SANTANA DO MANHUACU;0.0
2022;315895;69;2;SANTANA DO PARAISO;28.99
2022;315950;16;0;SANTA RITA DO ITUETO;0.0
2022;315960;115;1;SANTA RITA DO SAPUCAI;8.7
2022;315990;4;1;SANTO ANTONIO DO AMPARO;250.0
2022;316070;40;2;SANTOS DUMONT;50.0
2022;316110;79;1;SAO FRANCISCO;12.66
2022;316150;23;2;SAO GERALDO;86.96
2022;316180;20;1;SAO GONCALO DO PARA;50.0
2022;316210;66;3;SAO GOTARDO;45.45
2022;316225;2;1;SAO JOAO DA LAGOA;500.0
2022;316250;82;1;SAO JOAO DEL REI;12.2
2022;316260;25;1;SAO JOAO DO ORIENTE;40.0
2022;316292;50;1;SAO JOAQUIM DE BICAS;20.0
2022;316310;10;1;SAO JOSE DA VARGINHA;100.0
2022;316340;14;1;SAO JOSE DO GOIABAL;71.43
2022;316350;10;1;SAO JOSE DO JACURI;100.0
2022;316370;122;2;SAO LOURENCO;16.39
2022;316400;5;1;SAO PEDRO DOS FERROS;200.0
2022;316410;4;1;SAO PEDRO DO SUACUI;250.0
2022;316420;9;1;SAO ROMAO;111.11
2022;316553;44;1;SARZEDO;22.73
2022;316555;14;1;SETUBINHA;71.43
2022;316630;25;1;SERICITA;40.0
2022;316695;1;1;SERRANOPOLIS DE MINAS;1000.0
2022;316710;50;1;SERRO;20.0
2022;316720;216;3;SETE LAGOAS;13.89
2022;316850;31;1;TEIXEIRAS;32.26
2022;316860;230;4;TEOFILO OTONI;17.39
2022;316870;121;0;TIMOTEO;0.0
2022;316890;16;1;TIROS;62.5
2022;316900;13;1;TOCANTINS;76.92
2022;316930;41;1;TRES CORACOES;24.39
2022;316940;136;0;TRES PONTAS;0.0
2022;316990;26;4;UBA;153.85
2022;317000;3;2;UBAI;666.67
2022;317005;9;1;UBAPORANGA;111.11
2022;317010;1209;3;UBERABA;2.48
2022;317020;913;9;UBERLANDIA;9.86
2022;317040;86;1;UNAI;11.63
2022;317052;9;2;URUCUIA;222.22
2022;317070;468;3;VARGINHA;6.41
2022;317075;17;1;VARJAO DE MINAS;58.82
2022;317090;48;1;VARZELANDIA;20.83
2022;317107;15;1;VEREDINHA;66.67
2022;317120;183;1;VESPASIANO;5.46
2022;317130;244;0;VICOSA;0.0
2022;317150;9;1;MATHIAS LOBATO;111.11
2022;317200;110;2;VISCONDE DO RIO BRANCO;18.18
2023;310040;13;1;ACAIACA;76.92
2023;310090;19;0;AGUAS FORMOSAS;0.0
2023;310150;55;0;ALEM PARAIBA;0.0
2023;310160;225;2;ALFENAS;8.89
2023;310170;18;0;ALMENARA;0.0
2023;310180;10;1;ALPERCATA;100.0
2023;310240;27;1;ALVORADA DE MINAS;37.04
2023;310260;138;1;ANDRADAS;7.25
2023;310270;12;0;CACHOEIRA DE PAJEU;0.0
2023;310285;17;0;ANGELANDIA;0.0
2023;310320;3;1;ARACAI;333.33
2023;310340;75;0;ARACUAI;0.0
2023;310350;336;5;ARAGUARI;14.88
2023;310375;18;0;ARAPORA;0.0
2023;310400;204;0;ARAXA;0.0
2023;310420;84;1;ARCOS;11.9
2023;310530;9;0;BANDEIRA DO SUL;0.0
2023;310560;234;2;BARBACENA;8.55
2023;310620;4168;23;BELO HORIZONTE;5.52
2023;310670;952;8;BETIM;8.4
2023;310690;16;1;BICAS;62.5
2023;310730;86;0;BOCAIUVA;0.0
2023;310740;153;0;BOM DESPACHO;0.0
2023;310780;7;0;BOM JESUS DO GALHO;0.0
2023;310810;9;0;BONFIM;0.0
2023;310850;37;1;BOTUMIRIM;27.03
2023;310855;28;0;BRASILANDIA DE MINAS;0.0
2023;310860;34;1;BRASILIA DE MINAS;29.41
2023;310900;188;0;BRUMADINHO;0.0
2023;310920;13;0;BUENOPOLIS;0.0
2023;310930;84;1;BURITIS;11.9
2023;310940;31;0;BURITIZEIRO;0.0
2023;311000;16;0;CAETE;0.0
2023;311020;14;1;CAJURI;71.43
2023;311070;8;1;CAMBUQUIRA;125.0
2023;311090;35;0;CAMPANHA;0.0
2023;311100;75;0;CAMPESTRE;0.0
2023;311115;3;0;CAMPO AZUL;0.0
2023;311120;74;0;CAMPO BELO;0.0
2023;311130;9;0;CAMPO DO MEIO;0.0
2023;311230;84;1;CAPELINHA;11.9
2023;311260;28;1;CAPINOPOLIS;35.71
2023;311330;114;0;CARANGOLA;0.0
2023;311340;54;4;CARATINGA;74.07
2023;311350;18;0;CARBONITA;0.0
2023;311420;97;0;CARMO DO CAJURU;0.0
2023;311430;72;0;CARMO DO PARANAIBA;0.0
2023;311530;39;1;CATAGUASES;25.64
2023;311550;25;1;CAXAMBU;40.0
2023;311570;8;2;CENTRAL DE MINAS;250.0
2023;311615;11;0;CHAPADA GAUCHA;0.0
2023;311730;75;0;CONCEICAO DAS ALAGOAS;0.0
2023;311740;7;0;CONCEICAO DE IPANEMA;0.0
2023;311760;6;0;CONCEICAO DO PARA;0.0
2023;311800;335;1;CONGONHAS;2.99
2023;311820;9;1;CONQUISTA;111.11
2023;311830;537;1;CONSELHEIRO LAFAIETE;1.86
2023;311860;782;8;CONTAGEM;10.23
2023;311880;53;0;CORACAO DE JESUS;0.0
2023;311930;99;2;COROMANDEL;20.2
2023;311940;306;1;CORONEL FABRICIANO;3.27
2023;311950;3;0;CORONEL MURTA;0.0
2023;311995;12;1;CORREGO FUNDO;83.33
2023;312090;86;0;CURVELO;0.0
2023;312160;95;1;DIAMANTINA;10.53
2023;312230;285;1;DIVINOPOLIS;3.51
2023;312240;22;1;DIVISA NOVA;45.45
2023;312245;4;1;DIVISOPOLIS;250.0
2023;312260;14;1;DOM JOAQUIM;71.43
2023;312360;8;0;ELOI MENDES;0.0
2023;312410;82;0;ESMERALDAS;0.0
2023;312430;8;2;ESPINOSA;250.0
2023;312480;6;0;ESTRELA DO SUL;0.0
2023;312490;12;0;EUGENOPOLIS;0.0
2023;312530;13;0;FARIA LEMOS;0.0
2023;312590;35;0;FERROS;0.0
2023;312610;260;0;FORMIGA;0.0
2023;312630;1;0;FORTALEZA DE MINAS;0.0
2023;312710;206;1;FRUTAL;4.85
2023;312750;11;0;GONZAGA;0.0
2023;312770;777;1;GOVERNADOR VALADARES;1.29
2023;312800;111;0;GUANHAES;0.0
2023;312840;35;0;GUARANI;0.0
2023;312880;7;0;GUIDOVAL;0.0
2023;312900;23;1;GUIRICEMA;43.48
2023;312980;209;4;IBIRITE;19.14
2023;313010;69;1;IGARAPE;14.49
2023;313020;19;1;IGARATINGA;52.63
2023;313050;18;0;ILICINEA;0.0
2023;313130;479;4;IPATINGA;8.35
2023;313170;714;0;ITABIRA;0.0
2023;313180;22;1;ITABIRINHA;45.45
2023;313190;103;2;ITABIRITO;19.42
2023;313220;21;0;ITAGUARA;0.0
2023;313230;16;0;ITAIPE;0.0
2023;313240;439;1;ITAJUBA;2.28
2023;313250;65;0;ITAMARANDIBA;0.0
2023;313380;144;0;ITAUNA;0.0
2023;313400;13;0;ITINGA;0.0
2023;313420;174;1;ITUIUTABA;5.75
2023;313440;108;1;ITURAMA;9.26
2023;313460;36;0;JABOTICATUBAS;0.0
2023;313470;4;0;JACINTO;0.0
2023;313510;128;0;JANAUBA;0.0
2023;313520;194;0;JANUARIA;0.0
2023;313550;18;1;JEQUERI;55.56
2023;313580;2;0;JEQUITINHONHA;0.0
2023;313620;331;1;JOAO MONLEVADE;3.02
2023;313630;89;0;JOAO PINHEIRO;0.0
2023;313650;2;0;JORDANIA;0.0
2023;313652;7;0;JOSE GONCALVES DE MINAS;0.0
2023;313660;6;0;NOVA UNIAO;0.0
2023;313670;627;5;JUIZ DE FORA;7.97
2023;313690;19;1;JURUAIA;52.63
2023;313700;26;0;LADAINHA;0.0
2023;313720;211;0;LAGOA DA PRATA;0.0
2023;313750;52;0;LAGOA FORMOSA;0.0
2023;313753;11;0;LAGOA GRANDE;0.0
2023;313760;337;1;LAGOA SANTA;2.97
2023;313820;369;0;LAVRAS;0.0
2023;313830;26;0;LEANDRO FERREIRA;0.0
2023;313840;64;0;LEOPOLDINA;0.0
2023;313940;314;1;MANHUACU;3.18
2023;313950;53;0;MANHUMIRIM;0.0
2023;313960;61;0;MANTENA;0.0
2023;313980;7;0;MAR DE ESPANHA;0.0
2023;314000;222;0;MARIANA;0.0
2023;314030;11;1;MARLIERIA;90.91
2023;314070;89;0;MATEUS LEME;0.0
2023;314110;93;1;MATOZINHOS;10.75
2023;314140;13;1;MEDINA;76.92
2023;314170;9;1;MESQUITA;111.11
2023;314280;12;1;MONTE ALEGRE DE MINAS;83.33
2023;314300;24;0;MONTE BELO;0.0
2023;314310;154;0;MONTE CARMELO;0.0
2023;314320;46;1;MONTE SANTO DE MINAS;21.74
